8.966;0.0125
10.208;0.025
10.845;0.0375
11.275;0.05
11.533;0.0625
11.543;0.075
11.772;0.0875
12.043;0.1
12.135;0.1125
13.046;0.125
13.372;0.1375
13.657;0.15
13.678;0.1625
13.816;0.175
13.957;0.1875
14.199;0.2
14.505;0.2125
15.129;0.225
15.48;0.2375
15.504;0.25
15.631;0.2625
15.964;0.275
16.079;0.2875
16.126;0.3
16.253;0.3125
16.263;0.325
16.999;0.3375
17.106;0.35
17.333;0.3625
17.622;0.375
17.742;0.3875
18.02;0.4
19.361;0.4125
21.216;0.425
21.529;0.4375
22.837;0.45
24.392;0.4625
25.479;0.475
29.034;0.4875
50.344;0.5
50.522;0.5125
53.057;0.525
56.687;0.5375
64.598;0.55
66.448;0.5625
67.786;0.575
81.421;0.5875
84.287;0.6
96.758;0.6125
97.977;0.625
98.343;0.6375
105.68;0.65
137.0;0.6625
143.156;0.675
143.389;0.6875
145.066;0.7
152.221;0.7125
166.551;0.725
171.992;0.7375
176.723;0.75
178.116;0.7625
183.392;0.775
191.614;0.7875
193.922;0.8
208.18;0.8125
209.901;0.825
212.809;0.8375
219.655;0.85
220.243;0.8625
221.741;0.875
221.933;0.8875
221.938;0.9
239.942;0.9125
246.511;0.925
260.538;0.9375
261.545;0.95
307.003;0.9625
319.117;0.975
321.344;0.9875
383.341;1.0
